Date,Open,High,Low,Close,Adj Close,Volume
2002-06-26,30.149300,30.149300,26.602301,28.375799,28.059259,9210666
2002-06-27,28.375799,28.375799,26.602301,26.602301,26.305546,1420929
2002-06-28,28.375799,30.149300,28.375799,30.149300,29.812977,1005082
2002-07-01,28.375799,28.375799,28.375799,28.375799,28.059259,259376
2002-07-02,26.602301,28.375799,26.602301,26.602301,26.305546,2168045
2002-07-03,26.602301,26.602301,26.602301,26.602301,26.305546,620247
2002-07-04,26.602301,28.375799,26.602301,28.375799,28.059259,1064287
2002-07-05,28.375799,28.375799,26.602301,26.602301,26.305546,2988462
2002-07-08,26.602301,26.602301,26.602301,26.602301,26.305546,3263344
2002-07-09,26.602301,26.602301,24.828800,26.602301,26.305546,438402
2002-07-10,26.602301,26.602301,24.828800,24.828800,24.551828,1036094
2002-07-11,24.828800,24.828800,23.055300,24.828800,24.551828,3900507
2002-07-12,26.602301,26.602301,26.602301,26.602301,26.305546,284750
2002-07-15,24.828800,24.828800,24.828800,24.828800,24.551828,1281374
2002-07-16,24.828800,24.828800,23.055300,23.055300,22.798113,383425
2002-07-17,23.055300,23.055300,23.055300,23.055300,22.798113,45109
2002-07-18,23.055300,23.055300,23.055300,23.055300,22.798113,2819
2002-07-19,23.055300,24.828800,23.055300,24.828800,24.551828,824646
2002-07-22,23.055300,23.055300,23.055300,23.055300,22.798113,944467
2002-07-23,23.055300,23.055300,23.055300,23.055300,22.798113,70483
2002-07-24,23.055300,23.055300,21.281900,23.055300,22.798113,7980040
2002-07-25,21.281900,21.281900,21.281900,21.281900,21.044495,14097
2002-07-26,65.000000,65.000000,55.000000,55.000000,54.386463,0
2002-07-29,19.508400,19.508400,19.508400,19.508400,19.290779,140965
2002-07-30,21.281900,21.281900,21.281900,21.281900,21.044495,28193
2002-07-31,21.281900,21.281900,21.281900,21.281900,21.044495,500426
2002-08-01,21.281900,21.281900,21.281900,21.281900,21.044495,740067
2002-08-02,21.281900,21.281900,21.281900,21.281900,21.044495,140965
2002-08-05,19.508400,19.508400,19.508400,19.508400,19.290779,14097
2002-08-06,19.508400,21.281900,19.508400,21.281900,21.044495,507475
2002-08-07,60.000000,60.000000,55.000000,55.000000,54.386463,0
2002-08-08,17.734900,21.281900,17.734900,21.281900,21.044495,35241
2002-08-09,17.734900,19.508400,15.961400,19.508400,19.290779,3526949
2002-08-12,17.734900,19.508400,17.734900,19.508400,19.290779,284750
2002-08-13,55.000000,55.000000,50.000000,50.000000,49.442238,0
2002-08-14,17.734900,21.281900,17.734900,19.508400,19.290779,21145
2002-08-15,19.508400,21.281900,19.508400,19.508400,19.290779,49338
2002-08-16,15.961400,17.734900,15.961400,17.734900,17.537062,294617
2002-08-19,50.000000,50.000000,45.000000,45.000000,44.498013,0
2002-08-20,15.961400,19.508400,15.961400,19.508400,19.290779,748525
2002-08-21,55.000000,55.000000,50.000000,50.000000,49.442238,0
2002-08-22,55.000000,55.000000,50.000000,50.000000,49.442238,0
2002-08-23,50.000000,50.000000,50.000000,50.000000,49.442238,0
2002-08-26,17.734900,17.734900,17.734900,17.734900,17.537062,281930
2002-08-27,17.734900,17.734900,17.734900,17.734900,17.537062,28193
2002-08-28,17.734900,17.734900,17.734900,17.734900,17.537062,28193
2002-08-29,17.734900,19.508400,17.734900,19.508400,19.290779,1271506
2002-08-30,15.961400,19.508400,15.961400,19.508400,19.290779,16916
2002-09-02,19.508400,19.508400,17.734900,17.734900,17.537062,709055
2002-09-03,15.961400,17.734900,15.961400,17.734900,17.537062,1488593
2002-09-04,17.734900,17.734900,17.734900,17.734900,17.537062,159291
2002-09-05,15.961400,19.508400,15.961400,19.508400,19.290779,16916
2002-09-06,17.734900,17.734900,17.734900,17.734900,17.537062,140965
